professor;disciplina;horarios
Professor_73;Disciplina_73;1
Professor_74;Disciplina_74;1
Professor_75;Disciplina_75;1
Professor_76;Disciplina_76;1
Professor_77;Disciplina_77;1
Professor_78;Disciplina_78;1
Professor_79;Disciplina_79;1
Professor_80;Disciplina_80;1
Professor_81;Disciplina_81;2
Professor_82;Disciplina_82;2
Professor_83;Disciplina_83;2
Professor_84;Disciplina_84;2
Professor_85;Disciplina_85;2
Professor_86;Disciplina_86;2
Professor_87;Disciplina_87;2
Professor_88;Disciplina_88;2
Professor_89;Disciplina_89;2
Professor_90;Disciplina_90;2
Professor_91;Disciplina_91;2
Professor_92;Disciplina_92;2
Professor_93;Disciplina_93;2
